date,value
2024-07-01,1.82187243157082
2024-07-02,1.4146010413421743
2024-07-03,1.5490146467628123
2024-07-04,1.6985895963327435
2024-07-05,1.797747183979975
2024-07-06,2.089341303642024
2024-07-07,2.152344436212546
2024-07-08,1.5524212633030872
2024-07-09,1.507813931572472
2024-07-10,1.274932502211334
2024-07-11,1.523146570607993
2024-07-12,1.3826627603838375
2024-07-13,1.357776321044026
2024-07-14,1.3628024186351988
2024-07-15,1.5593322805755772
2024-07-16,1.5115998860823274
2024-07-17,1.6085092527269766
2024-07-18,1.5786641481253707
2024-07-19,1.671380259365212
2024-07-20,2.069313184810865
2024-07-21,2.741862387033137
2024-07-22,1.9108137989569256
2024-07-23,1.669225269179004
2024-07-24,2.3819983121972648
2024-07-25,2.3374250958358127
2024-07-26,1.8057232552523543
2024-07-27,1.965459519046258
2024-07-28,2.4555826877736613
2024-07-29,2.14477542070121
2024-07-30,3.0166568048886493
2024-07-31,2.973532240118015
2024-08-01,3.0065290648694187
2024-08-02,2.8508502241550864
2024-08-03,3.781177442559435
2024-08-04,4.699980077155742
2024-08-05,3.728800726832223
2024-08-06,3.7014510383178383
2024-08-07,3.619941307747729
2024-08-08,3.185013976790058
2024-08-09,2.671563634620685
2024-08-10,2.998841721691932
2024-08-11,3.046892528606686
2024-08-12,2.369671727744845
2024-08-13,1.951864443365172
2024-08-14,1.8407210742043807
2024-08-15,2.388541253830653
2024-08-16,1.9899181628652327
2024-08-17,2.749954865499188
2024-08-18,2.902286052233848
2024-08-19,2.702652106084243
2024-08-20,2.584481619442503
2024-08-21,2.131897352710174
2024-08-22,2.060474288314709
2024-08-23,2.153926143857157
2024-08-24,2.14532518378009
2024-08-25,1.8076795533242327
2024-08-26,1.780166763436548
2024-08-27,1.8191137599372853
2024-08-28,1.805730258560448
2024-08-29,1.6156499014651702
2024-08-30,1.4701289430241378
2024-08-31,1.644010845967444
2024-09-01,2.8271495700430385
2024-09-02,2.6200935918250408
2024-09-03,2.264366480793061
2024-09-04,1.885373690991212
2024-09-05,1.9225019103201584
2024-09-06,1.877099906933702
2024-09-07,2.707766889656108
2024-09-08,2.5702024799394168
2024-09-09,1.7883417529059786
2024-09-10,1.83086055904011
2024-09-11,2.003115212621636
2024-09-12,1.672135808465521
2024-09-13,1.5625684536413686
2024-09-14,1.7838956601728049
2024-09-15,1.877428228991546
2024-09-16,1.5620987113440998
2024-09-17,1.540457669545207
2024-09-18,1.4165035774172992
2024-09-19,1.3710663202400293
2024-09-20,1.4561719907862078
2024-09-21,1.675826954850457
2024-09-22,1.8199745285731888
2024-09-23,1.5415134952732032
2024-09-24,1.527691531475588
2024-09-25,1.4836223506743738
2024-09-26,1.52658549534985
2024-09-27,1.6314245244840146
2024-09-28,1.846765922591392
2024-09-29,1.929381097199732
2024-09-30,1.5542754129808
2024-10-01,1.8181091208188631
2024-10-02,2.086870085775554
2024-10-03,1.633354566542072
2024-10-04,1.5980042838374595
2024-10-05,2.5223023513706324
2024-10-06,2.900873780714272
2024-10-07,2.361565354685914
2024-10-08,1.7547362476254584
2024-10-09,1.4010070919840922
2024-10-10,1.2982962938646885
2024-10-11,1.5735553159776838
2024-10-12,1.557619595594279
2024-10-13,1.7761079942887636
2024-10-14,1.4134513226730503
2024-10-15,1.4096621343222084
2024-10-16,1.4213927508460065
2024-10-17,1.4557037985317944
2024-10-18,1.504881086874656
2024-10-19,1.7955426356589148
